product_name,primary_category,sugars_100g,proteins_100g,fat_100g,fiber_100g,nutriscore_grade
Cioccolato fondente mirtillo e ibisco 54%,Candy & Chocolate,6.5,5.0,32.4,,unknown
La spalmabile al pistacchio,Spreads & Dips,0.0,24.0,33.0,0.0,d
Confiture de fraise,Spreads & Dips,59.0,0.4,0.1,1.2,d
Mister Natural - Chabacano Deshidratado,Fruit Snacks,53.0,3.0,0.0,8.0,d
Mister Natural - Datil Premium,Fruit Snacks,65.0,3.0,0.0,8.0,c
Naranjitos,Candy & Chocolate,56.6,3.0,16.7,,e
Milka with whole hazelnuts.,Candy & Chocolate,47.0,7.9,36.0,3.5,e
Golden Raisins California,Fruit Snacks,65.0,2.5,0.0,5.0,d
Copos de avena,Cereals & Granola,0.7,14.0,7.0,10.0,unknown
Brioche senza glutine,Candy & Chocolate,1.3,3.4,14.9,3.8,d
Cookie Pro,Candy & Chocolate,3.7000000476837,21.200000762939,26.799999237061,,d
55 Protein  bar,Protein & Sport,12.0,47.3,17.8,,not-applicable
Chocolife,Candy & Chocolate,0.0,10.5,41.5,12.0,d
Absolute Black,Candy & Chocolate,2.7,13.0,53.0,17.0,d
Barritas muesli frutos rojos,Candy & Chocolate,20.0,8.1,15.0,4.3,d
Beignets à l'abricot,Candy & Chocolate,20.0,6.7,9.6,,d
Frollini al cacao,Candy & Chocolate,2.0,38.0,18.0,10.0,c
Crackers al rosmarino,Chips & Savoury Snacks,2.5,41.0,17.0,,a
Isomed,Candy & Chocolate,10.9,40.0,25.06,12.6,d
Frollini al cacao,Candy & Chocolate,2.0,38.0,18.0,10.0,c
Biscotti al cacao e crema alla vaniglia,Candy & Chocolate,5.0,37.0,23.0,10.0,d
Croissant ripieno alla crema di cacao,Candy & Chocolate,0.65,17.0,14.3,9.1,c
Muesli quinoa chia,Cereals & Granola,18.0,9.8,4.3,1.0,unknown
Chocolat Noir 85% vegan,Candy & Chocolate,14.0,8.8,56.0,12.0,d
Chili himbeer bonbons candy,Candy & Chocolate,0.5,0.1,0.6,,b
55 protein bar,Protein & Sport,8.8,24.0,4.1,,not-applicable
75 protein bar,Protein & Sport,32.266667683919,40.0,12.266666412353,,not-applicable
Burro di arachidi,Nuts & Seeds,3.1,29.0,50.0,,unknown
Burro di arachidi,Nuts & Seeds,3.1,29.0,50.0,,unknown
Barretta perfectbar,Protein & Sport,0.8,48.0,18.0,,not-applicable
Perfectbar,Protein & Sport,0.8,48.0,18.0,4.0,not-applicable
Biscotti proteici,Candy & Chocolate,0.2,40.0,22.7,15.8,a
Frollini proteici,Candy & Chocolate,0.2,40.0,20.0,30.0,a
Crema spalmabile arachidi,Nuts & Seeds,2.4,25.0,29.0,,b
Crema spalmabile nocciola,Nuts & Seeds,1.2,20.0,33.0,5.9,a
Fagottino di sfoglia con crema di nocciole e cacao LuisAnna,Candy & Chocolate,23.0,2.9,34.0,,e
"Barretta sostitutivo pasto, cioccolato",Protein & Sport,29.0,28.0,12.0,9.0,not-applicable
Wafer  zero cacao e nocciola,Protein & Sport,4.3,32.0,33.0,9.8,not-applicable
Panettone,Candy & Chocolate,26.0,6.6,14.0,2.0,unknown
Wild Raw Honey,Spreads & Dips,80.8,0.5,0.5,0.5,e
Haselnusscreme,Spreads & Dips,57.0,3.8,34.0,,e
Popcorn Delicio saveur chocolat,Chips & Savoury Snacks,10.0,7.9,28.0,,e
Croissant au beurre,Candy & Chocolate,5.1,7.1,20.0,,e
Chocolat Noir,Candy & Chocolate,34.0,7.3,37.0,,e
Croissant,Candy & Chocolate,5.4,8.8,24.0,2.4,e
Pate a tartiner,Spreads & Dips,42.3,5.73,35.43,,e
Pâte à tartiner chocolat et noisette,Nuts & Seeds,8.7,6.4,37.0,2.8,d
Resain sec,Fruit Snacks,72.0,1.9,0.6,5.2,d
Pate a tartiner,Spreads & Dips,8.7,6.4,37.0,2.8,d
Biscuits orange chocolat avoine,Candy & Chocolate,39.0,5.2,26.0,3.5,e
Pâte à tartiner chocolat noisette,Baked Goods & Biscuits,52.0,6.7,32.0,3.7,e
